id,handle,text,is_retweet,original_author,time,lang,retweet_count,favorite_count
7.81E+17,HillaryClinton,The question in this election: Who can put the plans into action that will make your life better? https://t.co/XreEY9OicG,FALSE,,2016-09-28T00:22:34,en,218,651
7.81E+17,HillaryClinton,"Last night, Donald Trump said not paying taxes was ""smart."" You know what I call it? Unpatriotic. https://t.co/t0xmBfj7zF",TRUE,timkaine,2016-09-27T23:45:00,en,2445,5308
7.81E+17,HillaryClinton,Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.,TRUE,POTUS,2016-09-27T23:26:40,en,7834,27234
7.81E+17,HillaryClinton,"If we stand together, there's nothing we can't do. 

Make sure you're ready to vote: https://t.co/tTgeqxNqYm https://t.co/Q3Ymbb7UNy",FALSE,,2016-09-27T23:08:41,en,916,2542
7.81E+17,HillaryClinton,Both candidates were asked about how they'd confront racial injustice. Only one had a real answer. https://t.co/sjnEokckis,FALSE,,2016-09-27T22:30:27,en,859,2882
7.81E+17,realDonaldTrump,"Join me for a 3pm rally - tomorrow at the Mid-America Center in Council Bluffs, Iowa! Tickets:… https://t.co/dfzsbICiXc",FALSE,,2016-09-27T22:13:24,en,2181,6172
7.81E+17,HillaryClinton,This election is too important to sit out. Go to https://t.co/tTgeqxNqYm and make sure you're registered. #NationalVoterRegistrationDay -H,FALSE,,2016-09-27T21:35:28,en,1303,2849
7.81E+17,HillaryClinton,When Donald Trump goes low...register to vote: https://t.co/tTgeqxNqYm https://t.co/DXz9dEwsZS,FALSE,,2016-09-27T21:25:31,en,1833,4954
7.81E+17,realDonaldTrump,"Once again, we will have a government of, by and for the people. Join the MOVEMENT today! https://t.co/lWjYDbPHav https://t.co/uYwJrtZkAe",FALSE,,2016-09-27T21:08:22,en,4132,11239
7.81E+17,HillaryClinton,3) Has Trump offered a single proposal to reduce the friction of starting a business. @HillaryClinton has https://t.co/OhFAFEFsUq,TRUE,mcuban,2016-09-27T21:00:13,en,1087,2824
7.81E+17,HillaryClinton,"The election is just weeks away. Check if you're registered to vote at https://t.co/HcMAh8ljR0, only takes a few cl… https://t.co/H1H7hAA4XM",TRUE,ddlovato,2016-09-27T20:37:47,en,3347,7698
7.81E+17,realDonaldTrump,"On National #VoterRegistrationDay, make sure you're registered to vote so we can #MakeAmericaGreatAgain… https://t.co/0wib6UEZON",TRUE,GOP,2016-09-27T20:31:14,en,2953,6963
7.81E+17,realDonaldTrump,"Hillary Clinton's Campaign Continues To Make False Claims About Foundation Disclosure: 
https://t.co/zhkEfUouHH",FALSE,,2016-09-27T20:14:33,en,3833,9840
7.81E+17,realDonaldTrump,"'CNBC, Time magazine online polls say Donald Trump won the first presidential debate' via @WashTimes. #MAGA
https://t.co/PGimqYKPoJ",FALSE,,2016-09-27T20:06:25,en,4236,10948
7.81E+17,HillaryClinton,Donald Trump lied to the American people at least 58 times during the first presidential debate. (We counted.) https://t.co/h43O6Rws4S,FALSE,,2016-09-27T19:59:28,en,5379,8917
7.81E+17,realDonaldTrump,Great afternoon in Little Havana with Hispanic community leaders. Thank you for your support! #ImWithYou https://t.co/vxWZ2tyJTF,FALSE,,2016-09-27T19:59:04,en,4878,14110
7.81E+17,realDonaldTrump,"In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and we’re still going! Thank you America! #MAGA",FALSE,,2016-09-27T19:37:22,en,6939,23330
7.81E+17,HillaryClinton,"“She gained about 55 pounds in...9 months. She was like an eating machine.” —Trump, a man who wants to be president: https://t.co/1ht91eZCyw",FALSE,,2016-09-27T19:31:01,en,2058,3714
7.81E+17,HillaryClinton,It's #NationalVoterRegistrationDay. Celebrate by registering to vote → https://t.co/tTgeqxNqYm https://t.co/R6lVvgLECG,FALSE,,2016-09-27T18:45:39,en,1792,3500
7.81E+17,HillaryClinton,"""I love this country.
I’m proud of this country.
I want to be a leader who brings people together.""
—Hillary #LoveTrumpsHate",FALSE,,2016-09-27T18:12:06,en,1437,5053
7.81E+17,HillaryClinton,"We don’t want to turn against each other.
We want to work with one another.
We want to set big goals in this country.
#StrongerTogether",FALSE,,2016-09-27T18:10:07,en,976,3313
7.81E+17,HillaryClinton,"""What we hear from my opponent is dangerously incoherent. It's unclear what he's saying, but words matter."" —Hillary",FALSE,,2016-09-27T18:06:28,en,957,2968
7.81E+17,HillaryClinton,One candidate made it clear he wasn’t prepared for last night’s debate. The other made it clear she’s prepared to b… https://t.co/InYZBmnbBM,FALSE,,2016-09-27T18:05:27,en,3336,9961
7.81E+17,HillaryClinton,"""What kind of a person would want to root for 9 million families losing their homes?

One who should never be president."" —Hillary on Trump",FALSE,,2016-09-27T18:02:54,en,1127,3216
7.81E+17,HillaryClinton,"""I don’t think that any family should have to pay more than 10% of their income on child care.” —Hillary https://t.co/pepW0auI8n",FALSE,,2016-09-27T17:58:15,en,586,1681
7.81E+17,HillaryClinton,"""I’m really glad my dad never had a contract with Donald Trump.” —Hillary https://t.co/un2YiRLEYF",FALSE,,2016-09-27T17:55:26,en,1580,2967
7.81E+17,HillaryClinton,"When you work hard, you should not be living in poverty. https://t.co/86sTOCAkkq",FALSE,,2016-09-27T17:52:47,en,557,1633
7.81E+17,realDonaldTrump,"Well, now they're saying that I not only won the NBC Presidential Forum, but last night the big debate. Nice!",FALSE,,2016-09-27T17:47:36,en,8534,28578
7.81E+17,HillaryClinton,"""We may have a record-setting turnout in this election.

We could have the biggest turnout we've ever had."" https://t.co/tTgeqxNqYm",FALSE,,2016-09-27T17:44:07,en,556,1546
7.81E+17,HillaryClinton,"""You can go to https://t.co/tTgeqxNqYm to make sure you are registered. And I hope you all will.” —Hillary #NationalVoterRegistrationDay",FALSE,,2016-09-27T17:40:05,en,661,1326
7.81E+17,HillaryClinton,Join Hillary live in NC for her first rally since winning last night's debate → https://t.co/DzEpIDf7HY #NationalVoterRegistrationDay,FALSE,,2016-09-27T17:35:08,en,1115,3941
7.81E+17,HillaryClinton,So. Everything you're feeling after #Debates2016? It's #NationalVoterRegistrationDay. PLEASE:… https://t.co/YnOtJL8bW7,TRUE,shondarhimes,2016-09-27T17:20:13,en,1328,2435
7.81E+17,HillaryClinton,"“Donald just criticized me for preparing for this debate. And you know what else I prepared for?

I prepared to be… https://t.co/QjB01msPaT",FALSE,,2016-09-27T17:07:22,en,6185,16805
7.81E+17,realDonaldTrump,"Thank you for your endorsement, @GovernorSununu. #MAGA 
https://t.co/8BEeQPsuyd",FALSE,,2016-09-27T16:58:58,en,4191,13152
7.81E+17,HillaryClinton,Hillary was the winner of the first presidential debate—and newspapers across America agree. #SheWon… https://t.co/oDiUHd0eXO,FALSE,,2016-09-27T16:54:22,en,2593,6269
7.81E+17,HillaryClinton,"Trump sobre Alicia Machado en 1996: ""Miss Piggy""

Esta mañana: ""Aumentó mucho de peso... era un problema serio"". https://t.co/Sv92DhXTPJ",TRUE,Hillary_esp,2016-09-27T16:37:19,es,2252,3264
7.81E+17,HillaryClinton,Register and vote for Democrats like @HillaryClinton and @KatieMcGintyPA: https://t.co/tu6W6eS9xR #iRegistered… https://t.co/9ovdecqadN,TRUE,JoeBiden,2016-09-27T16:29:30,en,1235,3206
7.81E+17,HillaryClinton,I've been fortunate to meet young Americans from all over the country. We all make choices. This is mine...… https://t.co/bYoUE91TOO,TRUE,AndrewJenks,2016-09-27T16:24:03,en,804,2086
7.81E+17,HillaryClinton,"""She gained a massive amount of weight...it was a real problem."" —Trump this morning on Alicia Machado https://t.co/LJPlFegSTs",FALSE,,2016-09-27T16:12:28,en,4829,7580
7.81E+17,HillaryClinton,"Today is #NationalVoterRegistrationDay - I was beaten, left bloody &amp; unconscious so that every person could register and vote. Do your part.",TRUE,repjohnlewis,2016-09-27T16:03:49,en,20006,24333
7.81E+17,HillaryClinton,More than 70 million Americans aren't registered to vote. We have to do better! Get registered &amp; spread the word: https://t.co/IobF5PQ7jv,TRUE,jasoncollins98,2016-09-27T16:01:04,en,1138,1554
7.81E+17,HillaryClinton,"When you have a really, really good night. #SheWon https://t.co/FVeGqhYxRZ",FALSE,,2016-09-27T15:54:07,en,8242,35744
7.81E+17,realDonaldTrump,"Such a great honor. Final debate polls are in - and the MOVEMENT wins!
#AmericaFirst #MAGA #ImWithYou… https://t.co/DV1BKMwHEM",FALSE,,2016-09-27T15:47:29,en,13576,27245
7.81E+17,HillaryClinton,"""Register. Vote. Go out and get engaged!” —@JoeBiden #NationalVoterRegistrationDay https://t.co/tTgeqxNqYm",FALSE,,2016-09-27T15:42:48,en,1350,2874
7.81E+17,HillaryClinton,"""I'm glad Trump found out that Crimea was part of Ukraine. By the way, I heard he was on the verge of acknowledging gravity."" —@JoeBiden",FALSE,,2016-09-27T15:32:57,en,5557,16289
7.81E+17,HillaryClinton,"“Let me tell you who built this damn country: the middle class.” —@JoeBiden

Let's keep building it, together: https://t.co/tTgeqxNqYm",FALSE,,2016-09-27T15:26:17,en,1453,4741
7.81E+17,HillaryClinton,One moment last night that proved—again—that Hillary's the only candidate ready to lead on the global stage: https://t.co/i4lrw7BpE9 #SheWon,FALSE,,2016-09-27T15:12:56,en,1452,4840
7.81E+17,realDonaldTrump,'U.S. Murders Increased 10.8% in 2015' via @WSJ: https://t.co/CIJMQJhLqp,FALSE,,2016-09-27T14:55:57,en,5365,10729
7.81E+17,HillaryClinton,"""Anyone who complains about microphone problems is not having a good night."" —Hillary #SheWon",FALSE,,2016-09-27T14:53:01,en,4773,14979
7.81E+17,realDonaldTrump,"Thank you! #TrumpWon #MAGA 
https://t.co/a5rr1i38km",FALSE,,2016-09-27T14:51:25,en,7255,17380
7.81E+17,realDonaldTrump,Hillary's been failing for 30 years in not getting the job done - it will never change.,FALSE,,2016-09-27T14:49:09,en,12127,31856
7.81E+17,HillaryClinton,"Trump on Alicia, 1996: ""Miss Piggy.""

This morning: ""She gained a massive amount of weight...it was a real problem."" https://t.co/0wrISjJe6z",FALSE,,2016-09-27T13:57:55,en,16476,22611
7.81E+17,realDonaldTrump,'True blue-collar billionaire Donald Trump shows Hillary Clinton is out of touch' https://t.co/NHO1OicfVm,FALSE,,2016-09-27T13:49:07,en,5827,14338
7.81E+17,realDonaldTrump,The #1 trend on Twitter right now is #TrumpWon - thank you!,FALSE,,2016-09-27T13:17:40,en,19561,52449
7.81E+17,realDonaldTrump,I won every poll from last nights Presidential Debate - except for the little watched @CNN poll.,FALSE,,2016-09-27T13:14:55,en,9598,29309
7.81E+17,realDonaldTrump,"'How Trump won over a bar full of undecideds and Democrats'
https://t.co/WWO39kxn8Y",FALSE,,2016-09-27T12:55:31,en,6704,15988
7.81E+17,realDonaldTrump,I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?,FALSE,,2016-09-27T12:53:42,en,21628,59791
7.81E+17,HillaryClinton,"""I have a winning temperament."" —Donald Trump last night 

Really? #SheWon https://t.co/nMTFoISagO",FALSE,,2016-09-27T12:32:21,en,4120,10456
7.81E+17,HillaryClinton,Only one person on last night's stage is prepared to be Commander-in-Chief. Make sure she gets the chance:… https://t.co/o50AezGRrb,FALSE,,2016-09-27T11:57:38,en,6253,17113
7.81E+17,realDonaldTrump,Great debate poll numbers - I will be on @foxandfriends at 7:00 to discuss. Enjoy!,FALSE,,2016-09-27T10:44:58,en,4437,16423
7.81E+17,realDonaldTrump,"Thank you! Four new #DebateNight polls with the MOVEMENT winning. Together, we will MAKE AMERICA SAFE &amp; GREAT AGAIN… https://t.co/39FCnUf8Pb",FALSE,,2016-09-27T06:32:29,en,10829,24078
7.81E+17,realDonaldTrump,".@DRUDGE_REPORT's First Presidential Debate Poll:
Trump: 80%
Clinton: 20%
Join the MOVEMENT today &amp; lets #MAGA!… https://t.co/B12lgC97tn",FALSE,,2016-09-27T05:54:42,en,10763,24643
7.81E+17,realDonaldTrump,"Thank you! CNBC #DebateNight poll with over 400,000 votes. 
Trump 61%
Clinton 39%
#AmericaFirst #ImWithYou… https://t.co/MJ3NwA98op",FALSE,,2016-09-27T05:44:02,en,16167,34480
7.81E+17,realDonaldTrump,"TIME #DebateNight poll - over 800,000 votes. Thank you! 
#AmericaFirst #MAGA https://t.co/bTPX9E0wKu",FALSE,,2016-09-27T05:36:33,en,12479,27258
7.81E+17,realDonaldTrump,".@newtgingrich just said ""a historic victory for Trump."" NICE!",FALSE,,2016-09-27T05:18:10,en,7709,24434
7.81E+17,HillaryClinton,"Tonight, @HillaryClinton proved she is ready to be President — and Donald Trump proved he is not. #debatenight https://t.co/Zeq5iF09Bc",TRUE,JoeBiden,2016-09-27T05:16:56,en,10733,30012
7.81E+17,realDonaldTrump,"Wow, did great in the debate polls (except for @CNN - which I don't watch). Thank you!",FALSE,,2016-09-27T04:34:09,en,12739,40321
7.81E+17,HillaryClinton,43 days left. Let’s go win this thing: https://t.co/vJShYQPqJb #DebateNight https://t.co/MzR30MEI0J,FALSE,,2016-09-27T04:04:38,en,6505,21912
7.81E+17,realDonaldTrump,"Thank you Governor @TerryBranstad! 
#AmericaFirst #Debates2016 https://t.co/yIeZctdQy8",FALSE,,2016-09-27T04:02:51,en,5578,14830
7.81E+17,realDonaldTrump,"Thank you Governor @Mike_Pence!
Lets MAKE AMERICA SAFE AND GREAT AGAIN with the American people. 
#AmericaFirst… https://t.co/6k7qP9X8nC",FALSE,,2016-09-27T04:01:32,en,7350,22113
7.81E+17,realDonaldTrump,"Thank you Senator @TedCruz!
#Debates2016 #MAGA https://t.co/cgO6109USJ",FALSE,,2016-09-27T03:58:24,en,18519,39447
7.81E+17,HillaryClinton,.@timkaine That's what we @Wellesley girls do! And it's so clear @HillaryClinton is the only candidate prepared to be president #debatenight,TRUE,madeleine,2016-09-27T03:52:39,en,3229,10833
7.81E+17,HillaryClinton,#DebateNight https://t.co/x4oTfkIlHS,FALSE,,2016-09-27T03:41:28,und,36243,72815
7.81E+17,HillaryClinton,"Donald Trump called her ""Miss Piggy"" and ""Miss Housekeeping.""

Her name is Alicia Machado. #DebateNight https://t.co/0wrISjJe6z",FALSE,,2016-09-27T03:33:57,en,57182,74103
7.81E+17,HillaryClinton,Hillary Clinton did what she needed to do: https://t.co/OhN5ZjCu2G https://t.co/4P3f6pNXB3,TRUE,TheAtlantic,2016-09-27T03:18:22,en,2277,6913
7.81E+17,HillaryClinton,"Tonight, we heard from two candidates -- but only one president. #ImWithHer",TRUE,ChadHGriffin,2016-09-27T03:14:49,en,7576,20896
7.81E+17,HillaryClinton,"""Hillary won big time. It was a shut out."" -- @HardballChris #debatenight",TRUE,hardball,2016-09-27T03:12:31,en,4682,12991
7.81E+17,HillaryClinton,Clinton won this debate in part because she had more stamina for this than Trump. He flagged badly after 30 minutes. She didn't.,TRUE,ezraklein,2016-09-27T03:03:24,en,8546,22141
7.81E+17,HillaryClinton,The presidency isn't a reality show—it's as real as it gets. Make sure you're registered to vote:… https://t.co/gBZ42fzFnF,FALSE,,2016-09-27T02:57:56,en,8550,20188
7.81E+17,HillaryClinton,Text IMWITHHER to 47246 to tell Hillary you're on her team all the way to Election Day. #debatenight https://t.co/YzlkvzVTGY,FALSE,,2016-09-27T02:50:50,en,3134,12026
7.81E+17,HillaryClinton,Gracias señora @HillaryClinton su respeto a las mujeres y nuestras diferencias la hacen grande! Estoy con usted!,TRUE,machadooficial,2016-09-27T02:48:53,es,11939,22707
7.81E+17,HillaryClinton,RT this if you're proud to be standing with Hillary tonight. #debatenight https://t.co/91tBmKxVMs,FALSE,,2016-09-27T02:45:44,en,80169,80678
7.81E+17,HillaryClinton,Hillary just proved she's the only candidate who's ready to be president. Chip in now and let's go win this thing: https://t.co/ATqqxWU0Hc,FALSE,,2016-09-27T02:43:15,en,5065,16336
7.81E+17,realDonaldTrump,".@HillaryClinton’s Nuclear Agreement Paved The Way For The $400 Million Ransom Payment #DebateNight
https://t.co/qfZTx6aKYs",FALSE,,2016-09-27T02:42:49,en,8575,19522
